,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P63261,0.053722132,0.03597091,0.031293076,0.022250151,0.015898408,0.016255284,0.023313882,0.02083679,0.04266313,0.05954483,0.0186435,0.017499015
P23528,0.10632273,0.06486005,0.04763048,0.04208129,0.04334051,0.03443256,0.07463375,0.01901678,0.024090752,0.025803026,0.046783507,0.019198202
Q96IY4,0.07364564,0.052160062,0.0472235,0.055689912,0.0655829,0.042220898,0.080894284,0.034603752,0.026375558,0.023748381,0.019909149,0.03430151
P49747,0.10408076,0.06369377,0.03931184,0.039996073,0.033592597,0.021434393,0.050677907,0.023959976,0.046862878,0.047668725,0.02424774,0.017854584
P27105,0.0605087,0.04270047,0.051611744,0.03245897,0.01944288,0.023688518,0.039392166,0.025484031,0.051218517,0.045283537,0.022507647,0.02937972
P07357,0.11258602,0.07683025,0.061904848,0.027274832,0.036604997,0.017594853,0.012951257,0.017197782,0.02991218,0.0384842,0.026389416,0.01949003
P01880,0.0616358,0.049875923,0.03424457,0.02141712,0.012538919,0.022051455,0.034250688,0.012595773,0.0163089,0.04296573,0.02144693,0.010593235
P06733,0.09587575,0.0467594,0.06982976,0.037934598,0.02148377,0.04454983,0.066655256,0.01766812,0.026037496,0.047528096,0.023999805,0.028192434
P19652,0.10387449,0.09080895,0.04402739,0.03835405,0.044484477,0.02506423,0.026066016,0.023047075,0.03826537,0.046328526,0.020486524,0.018649014
P62937,0.09666503,0.04666885,0.0547566,0.040559653,0.01993535,0.047370218,0.07877074,0.022172974,0.019813556,0.01830265,0.039353546,0.019535776
P02533,0.13603127,0.06332423,0.03665881,0.021403147,0.023251042,0.027359147,0.013459717,0.011915038,0.024047634,0.062182464,0.049936075,0.025486773
P05106,0.11573849,0.06250341,0.0378995,0.024316147,0.039804976,0.018337373,0.03854604,0.013335715,0.02119523,0.051465206,0.019960873,0.031122986
P18206,0.10136993,0.055153746,0.049888834,0.02598899,0.020734427,0.025708029,0.047449313,0.014708826,0.022983512,0.056601785,0.019392869,0.02248073
P08519,0.13262914,0.0457175,0.05395446,0.034181036,0.06156987,0.021360304,0.051168717,0.019061413,0.029407293,0.044945512,0.032112516,0.02311192
P26038,0.074575886,0.034226496,0.047820732,0.0224102,0.016442392,0.03764166,0.043826636,0.022121212,0.048656654,0.033998337,0.022268403,0.016674047
P48740,0.080623336,0.06844781,0.052010782,0.03389364,0.040140145,0.014896276,0.04353599,0.021052415,0.020176327,0.021370465,0.02838263,0.01966625
P51884,0.06763897,0.06921512,0.042309083,0.0155743165,0.019572403,0.024106808,0.023140106,0.0105262725,0.013767816,0.06038568,0.01445694,0.014581671
P10643,0.10545169,0.069184914,0.062409155,0.043058973,0.041744597,0.02033093,0.034636952,0.018462585,0.026852172,0.033786546,0.034455948,0.018954556
