Test_sample,protein,protein_name,category,abundance_tertile,pearson_r,Observed,Predicted
33,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.4455122254730668e-07
34,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,7.259483254529187e-07
35,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,2.8058360840077512e-05,1.8204231309937313e-05
36,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00013454108557198197
37,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,8.03908369562123e-06
38,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0005681714392267168
39,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0005239749443717301
40,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.0097059202962555e-05
41,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00023996255185920745
42,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0003623440279625356
43,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0009787656599655747
44,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.00010971868323395029
45,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0007487182156182826
46,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.1676402209559456e-05
47,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,3.927861413899336e-08
48,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.7686135223016208e-08
49,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.6081983744697936e-08
50,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,4.5794550374012033e-07
51,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,5.096366439971689e-09
52,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,6.793826612394582e-10
53,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,5.8129472790824366e-08
54,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,5.628350209008204e-06
55,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.3486350702862637e-08
56,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,3.004808135642634e-08
57,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,7.611747676605773e-09
58,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.006266617216169834,5.363597210816806e-06
59,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,9.764156594371798e-09
60,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.1975257230290026e-08
61,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.8155484227122543e-08
62,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,3.1864900051914447e-08
63,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,2.5711133222472426e-09
64,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.024776550009846687,5.49398837534909e-09
65,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,3.1202347372527584e-07
66,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,2.5729738339919095e-08
67,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,8.702930642812134e-08
68,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,8.702930642812134e-08
69,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,5.183667273200854e-09
70,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0001278819254366681
71,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,8.816349691187497e-06
72,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,7.308717613341287e-06
73,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.034371734931483e-06
74,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.034371734931483e-06
75,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,1.034371734931483e-06
76,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0028985270764678717
77,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0028985270764678717
78,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0028985270764678717
79,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.0028985270764678717
80,P01599,Immunoglobulin kappa variable 1-17,Immunoglobulins,Low,-0.046904001384973526,0.0,0.002815826563164592
1,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,0.0002425590209895745
2,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,6.523386673507048e-06
