FPR,ROC_mean_TPR,ROC_CI95_lower,ROC_CI95_upper,Recall,PR_mean_precision,PR_CI95_lower,PR_CI95_upper
0.08,0.6889047726059585,0.612874022515709,0.776860600275461,0.08,0.9648946360153258,0.9085819340262231,0.9780835102318782
0.085,0.700870723292914,0.6216996894964776,0.7854072057085465,0.085,0.9656489463601534,0.9086532884943997,0.9776666250863587
0.09,0.7131914306643932,0.631083282330758,0.7928130863691701,0.09,0.9663390804597701,0.908802963123364,0.9775150519978105
0.095,0.724375549279093,0.640641882762392,0.7987134741200308,0.095,0.9664479337712094,0.9073101050692937,0.97725311901341
0.1,0.7370140234093381,0.652024118212244,0.8095082533089334,0.1,0.9665462506841818,0.906145622107897,0.9769326800782102
0.105,0.7427825054821935,0.6574011601108168,0.8145437212040908,0.105,0.9670858648056923,0.9071734031817099,0.9771261009624157
0.11,0.7482664785689129,0.6669002122487254,0.8196364216743827,0.11,0.967625478927203,0.906360116196862,0.9769627659797272
0.115,0.7596149851193258,0.6749626592894361,0.827768807799886,0.115,0.9681650930487138,0.9052161573369024,0.9766961772462044
0.12,0.7652985990380125,0.6845003069875477,0.8334114042133008,0.12,0.9686970443349753,0.9051648576435926,0.9762054905582923
0.125,0.7756476901499819,0.692860073602259,0.8401334517319705,0.125,0.9673046661193214,0.9021078600880778,0.9758208042556101
0.13,0.7788797006485841,0.6971669991966186,0.8429414411974772,0.13,0.9677769111476006,0.9030778754289915,0.9761796223857404
0.135,0.7871329072043142,0.7041348796176238,0.8476302233090576,0.135,0.9659024812990329,0.9018471696256246,0.9761183110352292
0.14,0.7950043486101457,0.7111577440849418,0.8537074420538331,0.14,0.9645729793833242,0.9024096974392999,0.9761501773515501
0.145,0.797729877977173,0.7180478483523244,0.8577242901909563,0.145,0.9642710157817916,0.8995340225264343,0.9754381877132021
0.15,0.803164812359837,0.7240120412520091,0.8626853860474389,0.15,0.9631988916256158,0.8998492504703322,0.974994217382687
0.155,0.8069451889258409,0.730276930320103,0.8666516629649387,0.155,0.9594882890895821,0.8969689594510538,0.9746665576252052
0.16,0.8126763180060314,0.7350553461741636,0.8693921029435207,0.16,0.9598932096001059,0.8971576174197385,0.9748182310744813
0.165,0.8165692939898092,0.7390244528797311,0.8723047405608585,0.165,0.9602928940472043,0.8982292099593016,0.9750874643864081
0.17,0.8232453418297188,0.7439497694125449,0.8758857147021916,0.17,0.9606900242158862,0.8947897503777353,0.9741869225306942
0.17500000000000002,0.8266027236662489,0.7481380529344648,0.8788996986742887,0.17500000000000002,0.9610819141745868,0.8944945178206972,0.9744376061301331
0.18,0.8292104287168333,0.7532549622410731,0.8827663443937634,0.18,0.9608563425718599,0.8941307479480731,0.9737802674865442
0.185,0.8317756261595556,0.7564326465403819,0.8859072622620392,0.185,0.9613300482244449,0.893585408016558,0.9732918787111673
0.19,0.8345428694154587,0.7612001019506782,0.888738246895827,0.19,0.96184577379836,0.8929512676557638,0.9728822560114693
0.195,0.8377731940222063,0.7666945495074984,0.8918922207819429,0.195,0.9623596908359838,0.8922393340825463,0.9728357861284495
0.2,0.8421586417765808,0.772715752083808,0.8952144342805033,0.2,0.9595690101724582,0.886969422300241,0.9712507488898384
0.20500000000000002,0.8440447219568514,0.7742377587129612,0.8964421106621221,0.20500000000000002,0.9601190820673579,0.8879326273158538,0.9714642240860242
0.21,0.8472144494621904,0.7768299206057271,0.8989091903012499,0.21,0.9606559362838102,0.8889050721705594,0.9714855942878629
0.215,0.8504204569778837,0.7814965365796974,0.9013518304563607,0.215,0.9597471171601918,0.886887674325462,0.970723157335361
0.22,0.8531531351647503,0.7843535474550475,0.9043282261704949,0.22,0.959305001192932,0.8861042684600008,0.9706990479109012
0.225,0.8559049135460614,0.7879233089707652,0.9064271626875507,0.225,0.9586812675138826,0.8843611256181367,0.9705870146010925
0.23,0.8582914505923798,0.7926226058916371,0.9084192243310499,0.23,0.9582584113417444,0.8838852773918155,0.9705323695328726
0.23500000000000001,0.8601530379588653,0.7949253308564522,0.9098527906924339,0.23500000000000001,0.9575247656239039,0.8820975508260601,0.970201198268762
0.24,0.8630403357002672,0.7989498551367898,0.9125460684783286,0.24,0.9525967982634652,0.8810982352207555,0.9694684263346947
0.245,0.8653508144157394,0.8007637455116059,0.9143646135476364,0.245,0.9528468433439696,0.8813230398234039,0.969250654253752
0.25,0.8712503056762737,0.8057419159761919,0.9177776109798917,0.25,0.9494559399731816,0.8719054765054128,0.9665599962776685
0.255,0.8716555221898701,0.8081012427536227,0.9186164290405433,0.255,0.950033290570647,0.8727402237654425,0.966852263115171
0.26,0.873236844436222,0.810471177363207,0.920556856042596,0.26,0.9506092547549614,0.8734553390659429,0.9670388250433581
0.265,0.8752595683807585,0.8133355817564858,0.9219095899238654,0.265,0.9508674934757861,0.8720667446001563,0.9667280546368214
0.27,0.8769425288999312,0.815775878542115,0.9233099881101738,0.27,0.950368915367879,0.8714402913491796,0.9664247996426734
0.275,0.8811830157484787,0.8180579964203724,0.9252309690763868,0.275,0.9474881854877341,0.8702306643540783,0.965066637289545
0.28,0.8827710995982311,0.8219339134318203,0.9268543209069561,0.28,0.947296676315946,0.8697488052802631,0.9649922505555979
0.28500000000000003,0.8845508642255845,0.8238349122773383,0.9281050133944521,0.28500000000000003,0.9478471353681375,0.8695752313878973,0.9651898372686952
0.29,0.8865547424510881,0.8277726969900825,0.9294512234304142,0.29,0.9432655798549983,0.8661034424228438,0.9641724876152681
0.295,0.8877204345128982,0.8296655899706467,0.9310407544180755,0.295,0.9422327475502049,0.8658169089239561,0.9629591158791979
0.3,0.8897754372374375,0.8328322655931341,0.9329027580826598,0.3,0.94153970671503,0.86083208971323,0.9622096289001627
0.305,0.8904807261004638,0.8358162015278189,0.934375149661968,0.305,0.940314855478585,0.8613355000948143,0.9621475373785212
0.31,0.8913477157397481,0.8389182538108517,0.9357644473495574,0.31,0.9370690016352381,0.8592715761336766,0.961346378216641
0.315,0.8927244458787538,0.8415995801792556,0.9381637070438581,0.315,0.9359974300072568,0.8582296557454927,0.9607724545523418
0.32,0.8950954971720038,0.8433901543952634,0.9393315218277138,0.32,0.9351937336780033,0.8574110274483318,0.9604056536345826
0.325,0.8970375417045015,0.8459801777100933,0.9404227783334163,0.325,0.9357492554395062,0.8568370462429735,0.9601065921164215
0.33,0.9003286162456708,0.848999775984991,0.9417783877716068,0.33,0.9362769698736748,0.8574280199680291,0.9603119055298479
0.335,0.9051782778772537,0.8522181724332499,0.944387367933156,0.335,0.9264416142768817,0.8435958732021217,0.95564612171896
0.34,0.9061381246330895,0.8544234915105866,0.9450103778650303,0.34,0.9269526320141385,0.844422344707633,0.9559711545187762
0.34500000000000003,0.9085278703407987,0.8567095473811204,0.9464707732053476,0.34500000000000003,0.9265827936943117,0.8442590924003521,0.9561577807309616
